StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q43,Q6,Attention Check 1,Attention Check 2,bloy_instrumental,lorst_instrumental,fraw_instrumental,norl_instrumental,terb_instrumental,yerk_instrumental,jom_instrumental,simon_instrumental,bloy_white,lorst_white,fraw_white,norl_white,terb_white,yerk_white,jom_white,simon_white,bloy_silence,lorst_silence,fraw_silence,norl_silence,terb_silence,yerk_silence,jom_silence,simon_silence,bloy_mtb5,lorst_mtb5,fraw_mtb5,norl_mtb5,terb_mtb5,yerk_mtb5,jom_mtb5,simon_mtb5,bloy_binary,bloy_sim,lorst_binary,lorst_sim,Q223,fraw_sim,norl_binary,norl_sim,terb_binary,terb_sim,yerk_binary,yerk_sim,jom_binary,jom_sim,simon_binary,simon_sim,Reflection,Age,Gender,Race,Language_1,PROLIFIC_PID
2022-10-12 15:16:16,2022-10-12 15:23:44,0,68.80.10.55,100,448,1,2022-10-12 15:23:45,R_3O8of9327hsYqj0,,,,,40.0149,-75.1439,anonymous,EN,5c9167ff0a216f00103ce299,1,1,1,7,1,1,7,1,7,7,1,7,1,1,7,7,7,7,1,7,7,7,7,7,7,7,1,7,1,1,1,1,7,7,1,1,bloring,1,lordting,1,frawing,1,frawing,1,tering,1,yerking,1,jomming,1,simoning,activities,27,2,3,100,
2022-10-12 15:15:17,2022-10-12 15:24:23,0,108.209.128.25,100,546,1,2022-10-12 15:24:23,R_31YM0Gf3qh1cwOR,,,,,35.0324,-89.8145,anonymous,EN,5edc3f9696a72790ae256a27,1,1,1,1,1,1,1,1,1,1,1,5,6,7,5,7,6,6,5,5,2,6,5,7,4,5,4,1,6,1,2,1,4,5,1,2,,2,,2,,2,,2,,2,,2,,2,,Using your imagination and being creative in a different way,61,2,3,100,
2022-10-12 15:19:06,2022-10-12 15:30:20,0,73.177.156.192,100,674,1,2022-10-12 15:30:21,R_2SjX1iiRSrzBij8,,,,,37.2849,-80.0701,anonymous,EN,6022fec1801f3612a0276d01,1,1,1,5,2,3,5,4,6,7,3,5,2,3,5,5,7,6,1,6,7,7,7,6,7,7,7,2,2,1,1,6,3,6,1,2,,2,,2,,2,,2,,1,jerking,1,jumping,1,summoning,My best guess is to see how well we are able to complete different activities based on background noise level. I am not sure about the slang words though.,28,2,3,98,
2022-10-12 15:21:35,2022-10-12 15:30:35,0,75.30.105.131,100,539,1,2022-10-12 15:30:36,R_2RWgUvHLIbCeGQh,,,,,42.2823,-87.8601,anonymous,EN,5f0a5a99dbbf721316f118e2,1,1,1,5,1,1,1,1,5,4,1,4,3,1,3,4,3,3,3,4,4,7,4,3,5,4,7,4,7,1,1,3,3,3,1,2,,2,,1,story time,1,recalling,1,whispering,1,eating dessert before dinner,2,,2,,I think the study was about how people judge noises,25,2,2,99,
2022-10-12 15:25:02,2022-10-12 15:30:57,0,24.60.132.175,100,355,1,2022-10-12 15:30:58,R_WfHiMej9qmgdTfH,,,,,42.9621,-71.449,anonymous,EN,6078163f1e585e4f71e3b879,1,1,1,6,5,1,2,1,6,6,4,6,5,2,3,1,6,6,5,6,6,2,6,6,6,5,6,4,3,1,2,1,6,6,4,2,,2,,2,,2,,2,,2,,2,,1,Simon Says,distraction,61,2,3,100,
2022-10-12 15:20:32,2022-10-12 15:31:17,0,98.57.80.242,100,644,1,2022-10-12 15:31:17,R_3oT2CCksUBYhVTn,,,,,29.8973,-95.6463,anonymous,EN,60c42cd5efeaf497de6e57b0,1,1,1,6,5,2,2,7,2,6,1,4,2,1,1,5,2,3,1,6,6,7,6,6,2,2,2,6,7,1,1,7,2,6,1,1,bloying,1,frawing,1,norling,1,terbing,1,yerking,1,jomming,1,simoning,1,simoning,Strange activities.,19,2,1,92,
2022-10-12 15:24:01,2022-10-12 15:31:28,0,75.163.71.120,100,446,1,2022-10-12 15:31:28,R_3qUmRxwTkmILku7,,,,,41.212,-96.1101,anonymous,EN,6107f349217073b43a3684af,1,1,1,5,5,4,1,2,3,4,6,4,4,2,3,4,3,3,4,5,2,5,1,3,4,4,6,2,6,1,1,5,2,2,2,2,,2,,2,,1,searching,2,,2,,1,jamming,2,,the effect of sound on perceptions of activities,25,1,"2,3",100,
2022-10-12 15:23:27,2022-10-12 15:31:45,0,47.233.43.230,100,497,1,2022-10-12 15:31:45,R_z6G3Ogw2hJGfheh,,,,,38.763,-90.5474,anonymous,EN,5ec67c1f9d0f0906b783865f,1,1,1,7,3,2,4,2,7,7,1,5,3,1,3,2,6,7,1,7,6,6,7,7,7,7,1,4,1,1,2,1,6,6,1,1,Dribbling,2,,1,Bedtime story,1,searching,1,whispering,2,,2,,2,,The effect of different sorts of noise on peoples' perceived abilities to perform certain activities,30,1,3,99,
2022-10-12 15:26:08,2022-10-12 15:32:24,0,98.114.244.70,100,375,1,2022-10-12 15:32:24,R_1FroaeVomDGcTeU,,,,,40.1578,-75.1236,anonymous,EN,5c11e1f0aa52ac000106ab81,1,1,1,5,5,2,5,5,4,6,2,3,6,1,2,7,4,5,1,7,2,7,7,1,5,6,6,3,7,1,2,7,4,4,2,1,Dribble practice,2,,1,Parent reading a bedtime story,2,,1,whispering,2,,2,,2,,How different sounds make you react/think about activities,26,1,1,95,
2022-10-12 15:28:18,2022-10-12 15:35:14,0,65.129.149.167,100,415,1,2022-10-12 15:35:14,R_1pSCHdEZaS2Gu6i,,,,,43.6349,-116.2023,anonymous,EN,5f7672195173b4112df5ae1f,1,1,1,3,4,1,1,1,1,5,1,2,4,1,1,6,1,3,1,7,7,7,7,3,7,7,7,2,7,1,1,3,4,2,1,1,juggling,2,,1,bedtime story,1,thinking,1,whispering,2,,1,prancing,2,,word associations,25,1,3,100,
2022-10-12 15:28:48,2022-10-12 15:35:37,0,63.155.119.30,100,409,1,2022-10-12 15:35:37,R_ekr7KLVRw7azmRH,,,,,44.0197,-123.1008,anonymous,EN,5fa0c5fd48882001b472ddf5,1,1,1,4,4,4,4,5,6,4,2,7,6,2,1,3,7,7,1,7,4,2,4,1,7,7,2,4,5,1,2,7,6,4,1,2,,2,,2,,2,,2,,2,,1,"Jamming, like a jam session with friends",2,,word association?,28,2,3,100,
2022-10-12 15:26:15,2022-10-12 15:35:40,0,24.117.237.15,100,564,1,2022-10-12 15:35:40,R_1KkEZm2oXSJ0fQw,,,,,43.5553,-111.8922,anonymous,EN,6346bf5c92e248ee80e12c8e,1,1,1,7,7,4,7,7,6,7,4,1,1,1,1,7,1,1,1,7,7,4,7,7,5,7,4,2,1,1,1,1,3,3,1,2,,2,,1,drawing,2,,1,tubing,2,,1,jogging,2,,I really couldn't say,41,2,3,95,
2022-10-12 15:29:09,2022-10-12 15:36:19,0,67.184.205.134,100,429,1,2022-10-12 15:36:19,R_1je2xIgiTGuWMUK,,,,,42.3667,-88.0925,anonymous,EN,57901207c9abeb0001af353e,1,1,1,2,6,7,5,7,7,3,4,3,5,6,6,7,6,2,4,5,7,7,7,7,6,5,5,2,7,2,6,6,7,4,3,2,,2,,2,,2,,2,,2,,2,,2,,I think this study was about understanding how people feel about doing certain activities with different background sounds,34,2,3,100,
2022-10-12 15:29:55,2022-10-12 15:37:22,0,67.8.99.62,100,446,1,2022-10-12 15:37:22,R_1q8x4vRxZzrPNjf,,,,,28.5788,-81.4396,anonymous,EN,62f6ff0fe96a1ece1bb0ddac,1,1,1,5,1,3,3,1,4,4,4,3,1,1,1,1,3,2,1,7,6,7,7,7,7,7,7,1,1,1,1,1,2,1,1,2,,2,,2,,1,terbing,2,,2,,2,,1,simon says,idk tbh,20,1,3,100,
2022-10-12 15:29:54,2022-10-12 15:37:39,0,99.188.213.133,100,464,1,2022-10-12 15:37:39,R_Ub9IoTQVaJDLnEt,,,,,33.762,-117.9325,anonymous,EN,5df2f36b617219204de98060,1,1,1,5,2,4,6,2,5,5,2,2,2,6,5,5,2,4,6,1,2,6,5,1,2,2,5,3,7,1,1,6,2,3,5,1,"dribbling ",2,,2,,2,,1,whisper,2,,2,,1,hide n go seek,how sounds of your environment can change your reaction,29,1,2,100,
2022-10-12 15:32:08,2022-10-12 15:37:45,0,24.116.159.184,100,336,1,2022-10-12 15:37:45,R_2pQamyZl4PDk6T7,,,,,40.1955,-92.5892,anonymous,EN,6108767c9bec77d0e42e3c44,1,1,1,7,4,2,2,4,7,7,5,4,2,1,2,1,7,7,2,7,7,7,7,2,7,7,7,6,3,1,1,7,7,7,1,1,juggling,2,,2,,1,remembering,1,whisper,2,,2,,2,,noises,23,2,4,80,
2022-10-12 15:30:10,2022-10-12 15:37:45,0,107.5.82.100,100,454,1,2022-10-12 15:37:45,R_089JFAxNsQ7VEOt,,,,,41.8993,-84.0402,anonymous,EN,5ce6fbd9a76bf00019cfd467,1,1,1,4,4,1,4,1,4,4,1,4,4,1,4,1,4,4,1,2,4,4,4,4,4,4,1,1,7,1,4,4,4,4,1,1,taking,2,,1,fawing,1,noring,2,,1,yerwing,1,jomming,1,simmon says,it was ok,37,2,3,100,
2022-10-12 15:26:06,2022-10-12 15:38:32,0,72.201.62.218,100,746,1,2022-10-12 15:38:33,R_RLanBIU0uQ75Re1,,,,,33.3908,-111.9184,anonymous,EN,5dfda52097234ba7a779bea7,1,1,1,6,7,6,7,5,6,6,2,5,5,3,5,6,6,5,5,6,6,6,5,4,7,7,1,3,7,3,4,4,4,5,1,1,dribbling,2,,1,reading,1,remembering,1,whispering,1,snacking,1,ballet,2,,memory relationship to nonsense words,38,2,3,100,
2022-10-12 15:32:44,2022-10-12 15:40:10,0,184.98.114.7,100,446,1,2022-10-12 15:40:10,R_1Igd40XMpej7m10,,,,,33.5093,-112.0563,anonymous,EN,591d369e88bbb500013a8517,1,1,1,7,2,1,3,1,2,7,1,3,1,1,1,1,1,3,1,7,7,4,7,7,2,7,2,4,2,1,1,1,2,2,1,2,,2,,2,,2,,2,,2,,1,hopping,2,,to see how I interpret what can happen in different environments,51,1,3,100,
2022-10-12 15:32:50,2022-10-12 15:40:19,0,69.23.117.213,100,449,1,2022-10-12 15:40:19,R_2fHTLXHDDb9Ct0g,,,,,38.9687,-94.5696,anonymous,EN,610010df15b0ad9b4f73736b,1,1,1,7,3,4,4,5,7,7,1,7,3,6,5,5,7,5,1,7,5,7,7,3,7,6,1,7,5,2,2,6,7,7,1,2,,1,larping,2,,2,,2,,2,,1,jamming,1,simon says,word associations,23,2,3,100,
2022-10-12 15:31:36,2022-10-12 15:40:27,0,71.61.184.166,100,531,1,2022-10-12 15:40:28,R_22zB6UXKELDEaVi,,,,,40.3177,-79.7223,anonymous,EN,60c2cc653d0c6208fc8899fc,1,1,1,7,4,2,4,5,3,6,7,5,6,3,4,7,1,4,2,4,4,3,4,1,2,3,6,4,7,2,5,7,2,4,2,2,,2,,2,,1,Snooting,2,,2,,2,,2,,How we associate activites with names we don't recognize.,30,1,3,100,
2022-10-12 15:31:11,2022-10-12 15:40:31,0,73.255.143.243,100,560,1,2022-10-12 15:40:31,R_3O8ufa9oHGMkqnr,,,,,27.8957,-81.8118,anonymous,EN,5e29ada5d441690127fb5748,1,1,1,6,4,2,4,2,6,7,2,6,3,2,4,4,6,6,3,6,6,7,7,7,7,6,2,7,6,2,3,1,5,7,3,1,playing,2,,2,,1,noodling,2,,1,yacking,1,jamming,2,,no idea,47,2,3,100,
2022-10-12 15:33:47,2022-10-12 15:40:49,0,68.205.149.117,100,422,1,2022-10-12 15:40:50,R_2X0bz8PB75KYWPY,,,,,28.5727,-80.8206,anonymous,EN,5fce766c6304ad09d04a6689,1,1,1,3,3,1,2,2,3,7,2,1,1,1,1,1,2,2,1,7,7,6,7,7,6,7,6,1,1,1,1,1,5,1,1,2,,2,,2,,1,faffing,1,whispering,2,,2,,2,,Evaluating how sounds effect concentration and ability for uncommon activities.,36,2,3,100,
2022-10-12 15:35:22,2022-10-12 15:41:27,0,96.253.92.173,100,364,1,2022-10-12 15:41:27,R_2EgbpYybtI0jnbm,,,,,37.5157,-77.2758,anonymous,EN,6108454f0f1590114b9d85c9,1,1,1,3,2,1,3,5,3,4,1,4,2,1,3,4,4,2,1,4,4,2,5,6,3,5,1,2,5,1,1,2,3,3,1,2,,2,,1,frawing,2,,1,tubing,2,,1,jamming,2,,not sure,29,2,3,100,
2022-10-12 15:34:57,2022-10-12 15:42:03,0,35.137.89.35,100,426,1,2022-10-12 15:42:04,R_2cqO6I0dO3GDRvb,,,,,28.2987,-82.6902,anonymous,EN,5efc14eb6529bc1c31ccb121,1,1,1,5,4,1,3,5,5,6,1,3,5,1,3,5,5,5,1,4,5,3,5,1,5,5,1,2,7,1,1,7,4,3,1,1,Basketball,2,,2,,1,Recall,2,,2,,1,Bunnyhop,2,,Determining how different sounds affect ones ability to do certain things,20,2,2,100,
2022-10-12 15:33:20,2022-10-12 15:42:04,0,98.61.155.232,100,523,1,2022-10-12 15:42:04,R_3ERqPL5SwvZiah5,,,,,44.8328,-93.4396,anonymous,EN,6234fb9dc715e1b3a9007c7e,1,1,1,6,3,1,1,5,4,7,1,4,4,2,3,5,3,3,4,5,5,5,6,2,4,4,5,5,2,1,1,5,4,4,1,2,,2,,1,Frowning,2,,1,Twerking,2,,1,Jumping,2,,Word association with made up words?  Maybe?,40,1,3,90,
2022-10-12 15:35:46,2022-10-12 15:42:27,0,98.185.218.176,100,400,1,2022-10-12 15:42:27,R_utcxZFsPErNI5LX,,,,,34.4216,-119.7068,anonymous,EN,610b14aa7e7925ef0f3cb83a,1,1,1,6,3,1,2,3,5,6,1,3,5,4,2,5,2,1,2,5,6,6,6,7,5,5,6,4,1,1,1,1,2,3,1,2,,1,"talking normally ",2,,1,"thinking ",1,whispering,2,,2,,2,,associations with different noises and describing activities without using the known word,23,2,3,100,
2022-10-12 15:37:26,2022-10-12 15:43:22,0,73.3.62.114,100,356,1,2022-10-12 15:43:23,R_0j6Z5SXmBp0YoZr,,,,,39.0274,-94.2087,anonymous,EN,63471989cce2d6849d55a533,1,1,1,5,4,1,3,7,3,5,1,7,7,1,3,1,1,7,3,7,5,1,3,7,3,7,1,1,7,1,3,7,3,3,1,1,"Blowing ",2,,1,Drawing,1,Curling,1,Tubing,1,Jerking,1,Jogging,2,,"Word association ",31,1,3,100,
2022-10-12 15:37:21,2022-10-12 15:43:36,0,131.107.8.68,100,375,1,2022-10-12 15:43:37,R_2pSTcxgauZDdOAh,,,,,47.6722,-122.1257,anonymous,EN,607666d91fde63c442a5d729,1,1,1,6,4,2,3,2,6,7,2,6,3,2,3,2,6,6,6,6,3,6,4,6,6,6,2,5,5,1,3,3,6,6,2,2,,2,,2,,2,,2,,2,,2,,2,,how noise in environments affect your ability to do things,23,1,2,90,
2022-10-12 15:36:54,2022-10-12 15:44:20,0,98.34.54.128,100,446,1,2022-10-12 15:44:20,R_1dLIxFQ0bPtmWAU,,,,,41.972,-87.7596,anonymous,EN,58d9a79c33fef3000118abdf,1,1,1,6,6,1,3,3,6,6,2,6,4,2,4,3,6,6,3,6,7,7,7,6,7,6,7,4,7,1,3,2,5,6,2,2,,2,,2,,2,,2,,1,"jerking ",2,,2,,don't know,33,1,3,60,
2022-10-12 15:27:47,2022-10-12 15:44:32,0,107.15.225.212,100,1004,1,2022-10-12 15:44:33,R_27VuqPILIsAIIQ7,,,,,35.9806,-78.8426,anonymous,EN,60fdb1610442c8225ce80a4a,1,1,1,7,3,4,7,7,7,3,1,5,3,2,3,3,6,5,2,7,2,7,7,7,7,6,1,6,5,1,4,2,6,5,1,1,bouncing balls,2,,2,,2,,2,,2,,1,ballet,2,,Performing activities with distractions,26,1,3,100,
2022-10-12 15:35:17,2022-10-12 15:45:14,0,73.82.126.235,100,597,1,2022-10-12 15:45:15,R_3F3Y10As1Hdkjg4,,,,,33.7228,-83.9976,anonymous,EN,606734f4935218ab9f94703c,1,1,1,6,3,3,5,4,4,6,1,5,2,4,5,6,4,6,3,7,3,7,7,7,5,7,2,1,7,1,1,1,1,1,1,2,,2,,1,Putting the kids to sleep,2,,2,,2,,2,,2,,kind of silly,62,1,3,100,
