StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q43,Q6,Read,Read Justification,Read Rationale,Build,Build Justification,Build Rationale,Paint,Paint Justification,Paint Rationale,Talk,Talk Justification,Talk Rationale,Zerpie,Zerpie Justification,Zerpie Rationale,Learn,Learn Justification,Learn Rationale,Eat,Eat Justification,Eat Rationale,Dance,Dance Justification,Dance Rationale,Attention Check 1,Attention Check 2,Reflection,Age,Gender,Race,Language,PROLIFIC_PID,ExperimentalSession-Read_DO,ExperimentalSession-Build_DO,ExperimentalSession-Paint_DO,ExperimentalSession-Talk_DO,ExperimentalSession-Zerpie_DO,ExperimentalSession-Learn_DO,ExperimentalSession-Eat_DO,ExperimentalSession-Dance_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Prolific ID here:,Were you able to watch and listen to the video?,Which room should Ryan read a book in?,Why did you choose this room?,,Which room should Ryan build a tower in?,Why did you choose this room?,,Which room should Ryan paint a picture in?,Why did you choose this room?,,Which room should Ryan talk to his friend in?,Why did you choose this room?,,Which room should Ryan learn Zerpie in?,Why did you choose this room?,,Which room should Alex learn the letters of the alphabet in?,Why did you choose this room?,,Which room should Ryan eat lunch in?,Why did you choose this room?,,Which room should Ryan dance in?,Why did you choose this room?,,"Based on the following text, what would you say is your favorite animal? There are thousands of possible choices of favorite animals, and your favorite animal may or may not have made this list. Please select Fish so we know you are paying attention.",What is the name of the child in this game?,What do you think this study was about?,What is your age?,What is your gender?,What is your race?,What percentage of time to you speak/hear English?,PROLIFIC_PID,Experimental Session - Read - Display Order,Experimental Session - Build - Display Order,Experimental Session - Paint - Display Order,Experimental Session - Talk - Display Order,Experimental Session - Zerpie - Display Order,Experimental Session - Learn - Display Order,Experimental Session - Eat - Display Order,Experimental Session - Dance - Display Order
9/21/21 18:39,9/21/21 18:50,IP Address,24.194.202.56,100,664,True,9/21/21 18:50,R_2bPgIwmkyMsPQzE,,,,,42.6842041,-73.6434021,anonymous,EN,61116e90ed4f186f208c64df,Yes,A,A is not as loud as B,1,B,B is a calmer invironment and less chance for the tower to be knocked over,1,A,B is loud and disruptive,1,B,"""Friend"" was singular. Room A suggests multiple friends in the room",1,A,Room A suggests a class of multiple people learning the same language,1,A,B is loud and distuptive,1,A,Things can be heard being thrown in B,1,B,Sounds like there are chickens in A. Also I like purple,1,Fish,Ryan,Noise level preference for differnt activities,25,Female,Caucasian/White,100,,Explanation|10|Read|Read Justification,Explanation|25|Build|Build Justification,Explanation|20|Paint|Paint Justification,Explanation|25|Talk|Talk Justification,Explanation|15|Zerpie|Zerpie Justification,Explanation|15|Learn|Learn Justification,Explanation|20|Eat|Eat Justification,Explanation|15|Dance|Dance Justification
9/21/21 18:41,9/21/21 18:51,IP Address,97.104.49.2,100,574,True,9/21/21 18:51,R_6FH4xuX7oS5vloR,,,,,28.94529724,-81.29889679,anonymous,EN,5f94a8d5b23c792ffdc1e935,Yes,B,Room B sounds quieter than room A,1,A,Room A was louder and the tower would be less likely to interrupt someone doing something,1,A,Room A sounded quieter and would be easier to be creative in.,1,A,Room A was less loud and would be easier to talk to a friend in.,1,A,Room A was less loud and would be a better environment for learning.,1,A,Room A sounds less loud and would be easier to learn in.,1,B,Room B was quieter and would be less stressful to eat in.,1,A,Room A sounded like it had some kind of instrument in it.,1,Fish,Ryan,The relation between sounds and different actions.,20,Male,Caucasian/White,100,,Explanation|20|Read|Read Justification,Explanation|25|Build|Build Justification,Explanation|5|Paint|Paint Justification,Explanation|20|Talk|Talk Justification,Explanation|20|Zerpie|Zerpie Justification,Explanation|15|Learn|Learn Justification,Explanation|15|Eat|Eat Justification,Explanation|10|Dance|Dance Justification
9/21/21 18:43,9/21/21 18:53,IP Address,74.108.69.55,100,580,True,9/21/21 18:53,R_1hQqnxpc9b8EOBr,,,,,40.62080383,-74.04260254,anonymous,EN,6136ccd9af1f5296910791c6,Yes,B,Room B is quieter in comparison to Room A.,1,B,"Room B is louder, so if his blocks fall down, it will be more okay than them falling if he went to Room A.",1,B,"Room A was more rowdy in comparison to Room B. Because concentration may be needed for Ryan to paint a picture, Room B is preferred.",1,B,Room B appears to be a setting more suitable for talking.,1,A,"Room A is quieter, thus better for concentration in learning a new language.",1,A,"Room B sounded like there was a bit of crying at the very end, so learning the alphabet would be better in Room A.",1,B,There was a kid who was whining from Room A and Room B sounded calmer.,1,A,"It seemed like there are more children in Room A because it was louder, so Ryan may have more fun dancing if there are more kids in that room. There are more children for him to dance with.",1,Fish,Ryan,Audibility,21,Female,Asian American/Pacific Islander,100%,,Explanation|15|Read|Read Justification,Explanation|20|Build|Build Justification,Explanation|10|Paint|Paint Justification,Explanation|20|Talk|Talk Justification,Explanation|10|Zerpie|Zerpie Justification,Explanation|5|Learn|Learn Justification,Explanation|15|Eat|Eat Justification,Explanation|15|Dance|Dance Justification
9/21/21 18:46,9/21/21 18:54,IP Address,99.63.4.159,100,511,True,9/21/21 18:54,R_1n25ebRdrMm2CXb,,,,,38.66639709,-90.3219986,anonymous,EN,6020b840e790606da739646c,Yes,B,Room B was quieter and more conducive to reading.,1,A,The red room noises when the lady opened the door were louder and seemed more agitated.,1,B,Room B sounded slightly quieter than Room A.,1,B,"Room B sounded like it had more people in it, so if talked to a friend in that room, I would be more likely to get other people involved in our conversation and make some new friends.",1,A,"Room B had the sound of some kind of clacking noise (a toy) in it, so Room A may be a better choice for studying a new language.",1,A,Room A sounded quieter and had an environment more conducive to studying letters.,1,A,"Room A sounded more lively, so if Ryan ate there, he could maybe make some more friends.",1,B,"Room B sounded more energetic. If Ryan danced in there, he would be less likely to disrupt activities in Room A.",1,Fish,Ryan,Gauging reactions to environmental stimuli.,23,Female,Caucasian/White,100%,,Explanation|25|Read|Read Justification,Explanation|10|Build|Build Justification,Explanation|10|Paint|Paint Justification,Explanation|10|Talk|Talk Justification,Explanation|10|Zerpie|Zerpie Justification,Explanation|15|Learn|Learn Justification,Explanation|15|Eat|Eat Justification,Explanation|25|Dance|Dance Justification
9/21/21 18:44,9/21/21 18:54,IP Address,76.91.114.135,100,619,True,9/21/21 18:54,R_1LZJi23YDKSjU0n,,,,,33.87780762,-118.2136993,anonymous,EN,61132ebf2d6a649e8f01ca38,Yes,B,its quiet,1,A,Room b sounded like it had babies in it that would most likely destroy the tower,1,A,This room was quiet,1,B,It had other children already talking so a good place for a conversation,1,B,Room a had kids being loud,1,A,the other room was noisy.,1,B,It sounded like kids were already in that room,1,A,It is already loud in that room so his music shouldn't bother anyone,1,Fish,Ryan,How noise levels determine where people will go.,20,Female,Hispanic/Latinx,70%,,Explanation|20|Read|Read Justification,Explanation|5|Build|Build Justification,Explanation|20|Paint|Paint Justification,Explanation|10|Talk|Talk Justification,Explanation|5|Zerpie|Zerpie Justification,Explanation|15|Learn|Learn Justification,Explanation|10|Eat|Eat Justification,Explanation|20|Dance|Dance Justification
9/21/21 18:40,9/21/21 18:55,IP Address,73.239.183.110,100,869,True,9/21/21 18:55,R_1Hdfb9bwtrg29nN,,,,,47.61700439,-117.3610001,anonymous,EN,614a3248b9811cd2f010b58e,Yes,B,I think that room B would be a better choice because it was less noisy.,1,B,I think that room B would be a better choice because it had a red background.,3,A,I thought that both room were equal. I think that he could paint in either room.,6,B,I picked room B because it sounded like more children where talking in there.,1,B,I choose room B because it was quieter. I thought that it might be easier for him to learn in a quiter environment.,1,B,I picked room B because it was slightly quieter then room A.,1,A,I think that both rooms would be equal to eat lunch.,6,B,I choose this room because I could hear children in the background.,1,Fish,Ryan,"I think this study could be about racial differences, or it could be about how sounds and the effects it can have in the learning environment",44,Female,Caucasian/White,100,,Explanation|15|Read|Read Justification,Explanation|15|Build|Build Justification,Explanation|5|Paint|Paint Justification,Explanation|10|Talk|Talk Justification,Explanation|15|Zerpie|Zerpie Justification,Explanation|5|Learn|Learn Justification,Explanation|10|Eat|Eat Justification,Explanation|10|Dance|Dance Justification
9/21/21 18:49,9/21/21 18:57,IP Address,68.234.142.24,100,491,True,9/21/21 18:57,R_2wLb83cTtdZWWll,,,,,31.5171051,-97.11979675,anonymous,EN,613feae27a56b757ef8527bb,Yes,B,It was much quieter,1,B,This room is quieter and in order to build a tower you need to concentrate.,1,B,The wall was yellow which made the room seem brighter. Yellow also seems like a more creative color,3,A,It was louder in this room which means you wouldn't be disturbing others by talking,1,A,"Because it was louder, so you could speak without disturbing the area.",1,A,It was very quiet which means it would be easier to concentrate in this room,1,B,It was louder in this room which means there's more kids to talk to during lunch,1,A,It was louder and the woman have on brighter colors of clothes.,1,Fish,Ryan,I think this study was very straightforward and easy to complete,19,Female,Hispanic/Latinx,90%,,Explanation|25|Read|Read Justification,Explanation|25|Build|Build Justification,Explanation|5|Paint|Paint Justification,Explanation|15|Talk|Talk Justification,Explanation|15|Zerpie|Zerpie Justification,Explanation|25|Learn|Learn Justification,Explanation|20|Eat|Eat Justification,Explanation|20|Dance|Dance Justification
9/21/21 18:52,9/21/21 18:59,IP Address,98.149.186.23,100,408,True,9/21/21 18:59,R_1HbF1KtPQB1h0fo,,,,,34.16760254,-118.3891983,anonymous,EN,6111bee677f1a1af1c492cf6,Yes,B,She looks more like a teacher than the other girl. ,4,B,She was cuter ,4,A,B looked grumpy - her facial expression,4,B,A looks sleepy and bored like she doesn't want to be there. ,4,A,She looked happier,4,A,She seemed friendlier,4,A,Love the diversity - both options were good,6,B,A looked like a deer in headlights ,4,Fish,Ryan,Diversity,26,Male,Caucasian/White,100,,Explanation|5|Read|Read Justification,Explanation|5|Build|Build Justification,Explanation|15|Paint|Paint Justification,Explanation|10|Talk|Talk Justification,Explanation|20|Zerpie|Zerpie Justification,Explanation|10|Learn|Learn Justification,Explanation|25|Eat|Eat Justification,Explanation|5|Dance|Dance Justification
9/21/21 18:51,9/21/21 19:06,IP Address,162.208.75.70,100,895,True,9/21/21 19:06,R_3rYwQ8pRbxuZ8MW,,,,,42.45629883,-74.24199677,anonymous,EN,614879787b35b177f2a28451,Yes,B,It's quiet enough to make reading enjoyable,1,A,He will be able to concentrate more,1,A,"It was the first room, and the other used the word ""or""",7,A,It is far less noisy compared to the other room,1,A,it was simply the first,8,A,It's far less noisy,1,B,He can interact with more people over lunch,1,B,the beauty of the music will be expressed better here ,7,Fish,Ryan,It is a great study that checks the importance and impact of sound on the things we do,41,Male,Caucasian/White,All the time,,Explanation|25|Read|Read Justification,Explanation|15|Build|Build Justification,Explanation|5|Paint|Paint Justification,Explanation|20|Talk|Talk Justification,Explanation|5|Zerpie|Zerpie Justification,Explanation|15|Learn|Learn Justification,Explanation|5|Eat|Eat Justification,Explanation|5|Dance|Dance Justification
9/21/21 18:56,9/21/21 19:06,IP Address,70.190.229.71,100,590,True,9/21/21 19:06,R_2SC62qWqhN1PwdC,,,,,33.5092926,-112.0562973,anonymous,EN,60fee5f6bc67d61006433c4f,Yes,B,This room was much quieter,1,B,Seemed like more children were playing in this room,1,A,I liked her dress,4,B,I liked her outfit,3,A,Seemed to be a lot of distractions in Room B,1,A,Red walls were more appealing,3,B,There seemed to be more people in this room,1,B,I liked the color of the walls more than room A,3,Fish,Ryan,There was a lot of diversity between who was opening the door - my gut instinct is that this study is intended to see who kids are drawn towards and why.,27,Female,Caucasian/White,100%,,Explanation|25|Read|Read Justification,Explanation|15|Build|Build Justification,Explanation|15|Paint|Paint Justification,Explanation|5|Talk|Talk Justification,Explanation|20|Zerpie|Zerpie Justification,Explanation|5|Learn|Learn Justification,Explanation|25|Eat|Eat Justification,Explanation|5|Dance|Dance Justification
9/21/21 18:42,9/21/21 19:06,IP Address,71.60.241.101,100,1436,True,9/21/21 19:06,R_1mJJG8J44lIDwkZ,,,,,40.32139587,-80.03780365,anonymous,EN,614a473cea80387d2e01c372,Yes,B,Reading a book in Room B is a lot easier because it is less noisy so Ryan will be able to read in peace.,1,A,"While both rooms sound similar with children's voices, in room A, you can hear blocks being played with. Ryan will have more fun with kids who also want to build a tower.",1,B,"Painting is a calm task and because room B is quieter, Ryan will do better focusing on his picture.",1,A,Room A is quieter and he will be able to focus on talking to his friend easier.,1,B,"Unfortunately because the girl is black, and 'Zerpie' is a foreign language, I chose room B as the best room to learn Zerpie.",2,B,"Room B is quieter, if Ryan wants to focus on learning his letters, going into the quieter room is the better choice.",1,B,Room B is quieter and Ryan will have a more relaxing time eating lunch in a quieter environment.,1,A,"There was some music coming from Room A, so dancing will be easier where there is music.",1,Fish,Ryan,"The study was about the act of getting things done rather than fooling around with friends. The louder rooms sound more fun, but the quieter rooms are easier to learn in.",18,Female,Caucasian/White,100%,,Explanation|15|Read|Read Justification,Explanation|15|Build|Build Justification,Explanation|25|Paint|Paint Justification,Explanation|20|Talk|Talk Justification,Explanation|5|Zerpie|Zerpie Justification,Explanation|10|Learn|Learn Justification,Explanation|15|Eat|Eat Justification,Explanation|10|Dance|Dance Justification
9/21/21 18:52,9/21/21 19:07,IP Address,73.222.189.238,100,882,True,9/21/21 19:07,R_2VvvaQI6MoYoZEA,,,,,37.914505,-122.300705,anonymous,EN,6100f6cbaf8cc18c374c2ccf,Yes,B,"Room B was much quieter, making it easier to focus reading.",1,B,b sounds like there are other children playing ,1,A,room A sounds less chaotic.,1,B,B was slightly quieter making it easier to hear a friend while talking,1,B,both rooms seemed similar only B was slightly quieter. ,1,A,Room A sounds more calm.,1,A,room a is quieter,1,A,room A sounds like it has musical instruments,1,Fish,Ryan,Im honestly not quite sure. Maybe choosing a room best fit to focus.,23,Female,"African American/Black,Asian American/Pacific Islander,Caucasian/White",100,,Explanation|25|Read|Read Justification,Explanation|20|Build|Build Justification,Explanation|20|Paint|Paint Justification,Explanation|5|Talk|Talk Justification,Explanation|15|Zerpie|Zerpie Justification,Explanation|25|Learn|Learn Justification,Explanation|5|Eat|Eat Justification,Explanation|10|Dance|Dance Justification
9/21/21 19:01,9/21/21 19:08,IP Address,71.60.128.10,100,451,True,9/21/21 19:08,R_1n9BY44IcwM2Zq3,,,,,40.80900574,-79.51889801,anonymous,EN,614996ea0d6f318ed4ff81e9,Yes,B,Room A sounds way to loud to be able to concentrate on a book.,1,B,B sounded quieter and he can focus his attention on building his tower.,1,A,Room A will let him concentrate better.,1,B,It sounded quieter. ,1,B,B sounds quieter and he can focus on learning the language without much distraction.,1,B,Room B would let him concentrate on learning easier. ,1,B,B sounds like it has more people and he can enjoy his lunch in the company of others. ,1,A,Room A sounds like a more fun room to dance in.,1,Fish,Ryan,Perception of sound,30,Male,Caucasian/White,100,,Explanation|25|Read|Read Justification,Explanation|5|Build|Build Justification,Explanation|20|Paint|Paint Justification,Explanation|25|Talk|Talk Justification,Explanation|15|Zerpie|Zerpie Justification,Explanation|20|Learn|Learn Justification,Explanation|10|Eat|Eat Justification,Explanation|20|Dance|Dance Justification
9/21/21 18:59,9/21/21 19:08,IP Address,24.190.252.32,100,563,True,9/21/21 19:08,R_2wuZo5BRBnhNQTB,,,,,40.76620483,-74.01779938,anonymous,EN,610029f61385d7bbc32f05a0,Yes,B,Quieter room. ,1,B,It sounded like there were blocks hitting the floor. ,1,B,The lively yellow color and the more calm voices. ,1,B,The room is louder and sounds like speaking is allowed. ,1,A,"The room is quieter, so Ryan can focus better. ",1,A,"It is quieter, so I can focus.",1,A,It sounds like there are more students enjoying a free period.,1,B,The room is louder. ,1,Fish,Ryan,Perception of tasks and what kind of environment you need to be in to accomplish your goal. ,29,Female,Caucasian/White,100%,,Explanation|15|Read|Read Justification,Explanation|10|Build|Build Justification,Explanation|25|Paint|Paint Justification,Explanation|20|Talk|Talk Justification,Explanation|10|Zerpie|Zerpie Justification,Explanation|15|Learn|Learn Justification,Explanation|15|Eat|Eat Justification,Explanation|25|Dance|Dance Justification
