StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q43,Q6,IJ Test,GH Test,EF Test,CD Test,AB Test,Attention Check 1,Q39,Q49,Q1,Q3,Q2,Q4,PROLIFIC_PID,FL_21_DO,AttentionCheck_DO
2021-08-31 12:56:06,2021-08-31 13:12:51,IP Address,76.88.34.199,100,1004,True,2021-08-31 13:12:51,R_1C2Z5EZDwMURMwt,,,,,32.80029296875,-117.243804931640625,anonymous,EN,612b5081f878816eb134878f,Yes,"
2","
2","
1","
2","
1",Madras Paneer,This survey is very important and instructive because it is an internal plan for how to arouse students' interest in reading and how to teach them lessons. I am very happy to do that.,,43,Male,Caucasian/White,full time,,ExperimentalSession-AB|ExperimentalSession-EF|ExperimentalSession-IJ|ExperimentalSession-GH|ExperimentalSession-CD|AttentionCheck,Attention Check 1
2021-08-31 13:03:28,2021-08-31 13:14:32,IP Address,98.160.101.183,100,663,True,2021-08-31 13:14:32,R_6XNLa4o418AmZrz,,,,,36.11749267578125,-95.81960296630859375,anonymous,EN,612549f0094fa9793775de27,Yes,"
2","
2","
1","
2","
1",Madras Paneer,learning letters,The loudness of the background noise,53,Female,Caucasian/White,100,,ExperimentalSession-IJ|ExperimentalSession-AB|ExperimentalSession-CD|ExperimentalSession-GH|ExperimentalSession-EF|AttentionCheck,Attention Check 1
2021-08-31 13:07:36,2021-08-31 13:16:14,IP Address,98.230.118.193,100,517,True,2021-08-31 13:16:16,R_21BpYZAekdNMxxo,,,,,30.4907989501953125,-84.31580352783203125,anonymous,EN,6116dbd9e6815800aae49ceb,Yes,"
2","
2","
1","
2","
1",Madras Paneer,Sound perception maybe based on gender,The loudness of the background noise,21,Female,Hispanic/Latinx,50%,,ExperimentalSession-IJ|ExperimentalSession-AB|ExperimentalSession-EF|ExperimentalSession-GH|AttentionCheck|ExperimentalSession-CD,Attention Check 1
2021-08-31 13:05:30,2021-08-31 13:16:52,IP Address,174.100.223.187,100,681,True,2021-08-31 13:16:52,R_3iqeE9BeT2eBWAl,,,,,41.4712066650390625,-81.52480316162109375,anonymous,EN,612d00fa8e72380887cecba9,Yes,"
2","
2","
1","
2","
2",Madras Paneer,The ability to detect background noise.,The loudness of the background noise,30,Male,African American/Black,100%,,ExperimentalSession-AB|AttentionCheck|ExperimentalSession-CD|ExperimentalSession-IJ|ExperimentalSession-EF|ExperimentalSession-GH,Attention Check 1
2021-08-31 13:09:13,2021-08-31 13:18:01,IP Address,97.113.125.57,100,527,True,2021-08-31 13:18:01,R_2tb8Vhg5GkO8Jhd,,,,,47.5399932861328125,-122.30319976806640625,anonymous,EN,610e063896c52970e2c24bb5,Yes,"
2","
2","
1","
2","
1",Madras Paneer,Teaching kids about the alphabet with different levels of noise.,The loudness of the background noise,18,Non-binary / third gender,Caucasian/White,100,,ExperimentalSession-EF|ExperimentalSession-IJ|ExperimentalSession-CD|ExperimentalSession-GH|ExperimentalSession-AB|AttentionCheck,Attention Check 1
2021-08-31 13:07:12,2021-08-31 13:18:14,IP Address,129.7.0.43,100,662,True,2021-08-31 13:18:15,R_2Sq1akYnYeITdso,,,,,29.7212066650390625,-95.36260223388671875,anonymous,EN,612d045a37ce6f77b3acf3e3,Yes,"
2","
2","
1","
2","
2",Madras Paneer,it was alright,The loudness of the background noise,19,Male,Hispanic/Latinx,80,,ExperimentalSession-AB|ExperimentalSession-CD|ExperimentalSession-IJ|ExperimentalSession-GH|AttentionCheck|ExperimentalSession-EF,Attention Check 1
2021-08-31 13:13:21,2021-08-31 13:22:17,IP Address,47.28.173.23,100,535,True,2021-08-31 13:22:17,R_xg8tqLvYpi5UgUh,,,,,41.1356964111328125,-102.993499755859375,anonymous,EN,61206ce659e8004a3a139c2c,Yes,"
2","
2","
1","
2","
1",Madras Paneer,"Wherher you can assess the volume differences ",The loudness of the background noise,25,Male,Caucasian/White,100,,ExperimentalSession-IJ|AttentionCheck|ExperimentalSession-GH|ExperimentalSession-CD|ExperimentalSession-AB|ExperimentalSession-EF,Attention Check 1
2021-08-31 13:15:32,2021-08-31 13:24:20,IP Address,68.129.113.124,100,527,True,2021-08-31 13:24:20,R_3sgZcnI9h9PFd7j,,,,,41.02130126953125,-73.6781005859375,anonymous,EN,612c4af8254b3b487a235ba5,Yes,"
2","
2","
1","
2","
1",Madras Paneer,volume levels; distractions,The loudness of the background noise,25,Female,Caucasian/White,100%,,ExperimentalSession-IJ|ExperimentalSession-CD|AttentionCheck|ExperimentalSession-AB|ExperimentalSession-EF|ExperimentalSession-GH,Attention Check 1
2021-08-31 13:13:16,2021-08-31 13:28:36,IP Address,68.134.174.178,100,920,True,2021-08-31 13:28:37,R_1djnE0vUEyZ9Ky3,,,,,39.165802001953125,-76.6381988525390625,anonymous,EN,61239b4aee46716895f8d0c5,Yes,"
1","
2","
1","
1","
2",Madras Paneer,The study tried to understand how much impact an instructor makes on their pupils base on their sex.,The loudness of the speaker,32,Male,African American/Black,100,,ExperimentalSession-EF|ExperimentalSession-GH|ExperimentalSession-IJ|AttentionCheck|ExperimentalSession-CD|ExperimentalSession-AB,Attention Check 1
2021-08-31 13:19:13,2021-08-31 13:29:47,IP Address,76.182.72.89,100,634,True,2021-08-31 13:29:48,R_3qZQntQH0Ow2sYM,,,,,35.7633056640625,-78.70999908447265625,anonymous,EN,610ac70abf3968156302fd41,Yes,"
2","
2","
1","
2","
1",Madras Paneer,Study about school alphabet,The loudness of the background noise,30,Female,Caucasian/White,100,,ExperimentalSession-CD|ExperimentalSession-GH|ExperimentalSession-IJ|ExperimentalSession-AB|AttentionCheck|ExperimentalSession-EF,Attention Check 1
2021-08-31 13:21:24,2021-08-31 13:30:11,IP Address,65.128.1.12,100,526,True,2021-08-31 13:30:11,R_2ElTckV0V0cKmcc,,,,,44.9152069091796875,-93.32219696044921875,anonymous,EN,61280c06426c63304e2eee23,Yes,"
2","
2","
1","
1","
1",Madras Paneer,Hearing test?,The loudness of the background noise,49,Female,Caucasian/White,100,,AttentionCheck|ExperimentalSession-IJ|ExperimentalSession-EF|ExperimentalSession-CD|ExperimentalSession-GH|ExperimentalSession-AB,Attention Check 1
2021-08-31 13:22:01,2021-08-31 13:30:18,IP Address,74.134.187.39,100,496,True,2021-08-31 13:30:18,R_1Fsq9jLJx0xOGhF,,,,,40.795501708984375,-84.13829803466796875,anonymous,EN,6108d837b6cabd4e7af714c4,Yes,"
2","
2","
1","
2","
1",Madras Paneer,Noticing your surroundings & hearing,The loudness of the background noise,19,Female,"Caucasian/White,Hispanic/Latinx",100%,,ExperimentalSession-GH|AttentionCheck|ExperimentalSession-EF|ExperimentalSession-CD|ExperimentalSession-IJ|ExperimentalSession-AB,Attention Check 1
2021-08-31 13:21:44,2021-08-31 13:30:58,IP Address,50.226.90.158,100,553,True,2021-08-31 13:30:58,R_2RODlPVuRUI0R5k,,,,,40.158599853515625,-75.2819976806640625,anonymous,EN,5c1ac9a924e01a000144e64a,Yes,"
2","
2","
1","
2","
1",Madras Paneer,Learning the alphabet & distinguishing which classroom was louder.,The loudness of the background noise,22,Female,African American/Black,100%,,ExperimentalSession-GH|ExperimentalSession-IJ|ExperimentalSession-EF|AttentionCheck|ExperimentalSession-CD|ExperimentalSession-AB,Attention Check 1
2021-08-31 13:23:52,2021-08-31 13:31:58,IP Address,68.196.8.215,100,485,True,2021-08-31 13:31:58,R_25LNh5fo9ROPhTe,,,,,41.02130126953125,-73.6781005859375,anonymous,EN,6105e08bbc32c57738bb496c,Yes,"
2","
2","
1","
2","
1",Madras Paneer,"identifying which room was louder while paying attention to letters ",The loudness of the background noise,28,Female,Caucasian/White,100,,ExperimentalSession-CD|AttentionCheck|ExperimentalSession-IJ|ExperimentalSession-AB|ExperimentalSession-GH|ExperimentalSession-EF,Attention Check 1
2021-08-31 13:23:34,2021-08-31 13:32:00,IP Address,73.199.166.249,100,505,True,2021-08-31 13:32:00,R_1pGLInpCahdlpyw,,,,,40.51629638671875,-74.26959991455078125,anonymous,EN,5e7d0a80f0a5a00ca02490e1,Yes,"
2","
2","
1","
2","
1",Madras Paneer,Children's ability to understand the meaning of the word louder in relation to background noise rather than speaker volume,The loudness of the background noise,27,Female,African American/Black,100,,ExperimentalSession-AB|ExperimentalSession-GH|ExperimentalSession-CD|ExperimentalSession-IJ|ExperimentalSession-EF|AttentionCheck,Attention Check 1
2021-08-31 13:23:59,2021-08-31 13:32:35,IP Address,73.48.121.128,100,515,True,2021-08-31 13:32:35,R_2q980EZDo001UIu,,,,,30.4907989501953125,-84.31580352783203125,anonymous,EN,612d71caa8f857d85ed6742a,Yes,"
2","
2","
1","
2","
1",Madras Paneer,Paying attention,The loudness of the background noise,26,Female,Caucasian/White,100,,ExperimentalSession-IJ|ExperimentalSession-AB|ExperimentalSession-GH|AttentionCheck|ExperimentalSession-CD|ExperimentalSession-EF,Attention Check 1
2021-08-31 13:23:55,2021-08-31 13:34:18,IP Address,98.124.119.106,100,623,True,2021-08-31 13:34:19,R_1IyGXfNrmUxCUkr,,,,,33.014007568359375,-80.17220306396484375,anonymous,EN,6128d5b832134d461773b0da,Yes,"
2","
2","
1","
2","
1",Madras Paneer,Keeping background noise distractions to a minimum.,The loudness of the background noise,28,Female,Caucasian/White,100,,ExperimentalSession-GH|ExperimentalSession-IJ|AttentionCheck|ExperimentalSession-EF|ExperimentalSession-AB|ExperimentalSession-CD,Attention Check 1
2021-08-31 13:31:28,2021-08-31 13:34:36,IP Address,72.211.191.197,100,188,True,2021-08-31 13:34:36,R_240nZHVYwsJZm9f,,,,,33.3874053955078125,-112.09980010986328125,anonymous,EN,612a944784ff386e8524ec01,No,,,,,,,,,,,,,,,
2021-08-31 13:21:37,2021-08-31 13:35:02,IP Address,98.13.134.241,100,805,True,2021-08-31 13:35:03,R_2QDTT5usft6Y7Rg,,,,,40.70989990234375,-73.95909881591796875,anonymous,EN,60ff2622ca839e9b3e112d5d,Yes,"
2","
2","
1","
2","
1",Madras Paneer,Paying attention to information & volume,The loudness of the background noise,25,Female,Hispanic/Latinx,100%,,ExperimentalSession-AB|ExperimentalSession-GH|ExperimentalSession-EF|ExperimentalSession-CD|AttentionCheck|ExperimentalSession-IJ,Attention Check 1
2021-08-31 13:25:52,2021-08-31 13:35:15,IP Address,35.129.51.25,100,562,True,2021-08-31 13:35:15,R_2Sqc5JbfH0HSYcM,,,,,38.7628936767578125,-89.96820068359375,anonymous,EN,60ffb341d73451660f2bd720,Yes,"
2","
2","
1","
2","
1",Madras Paneer,"Which videos had the most background noise. ",The loudness of the background noise,25,Female,Caucasian/White,100,,ExperimentalSession-GH|ExperimentalSession-EF|ExperimentalSession-IJ|ExperimentalSession-CD|AttentionCheck|ExperimentalSession-AB,Attention Check 1
2021-08-31 13:20:53,2021-08-31 13:35:49,IP Address,184.59.160.145,100,896,True,2021-08-31 13:35:49,R_09hHYtoEDBaVgpH,,,,,38.6905059814453125,-85.80280303955078125,anonymous,EN,61003de1b71cd355a2923911,Yes,"
2","
2","
1","
1","
1",Madras Paneer,N/A,The loudness of the background noise,30,Female,Caucasian/White,100,,ExperimentalSession-EF|ExperimentalSession-IJ|ExperimentalSession-CD|ExperimentalSession-AB|ExperimentalSession-GH|AttentionCheck,Attention Check 1
2021-08-31 13:32:50,2021-08-31 13:36:06,IP Address,69.246.213.251,100,195,True,2021-08-31 13:36:06,R_3oFr8mEnYoQdGAA,,,,,42.0220947265625,-88.170501708984375,anonymous,EN,6116e214ea49bc2793cb20d1,No,,,,,,,,,,,,,,,
2021-08-31 13:25:52,2021-08-31 13:37:19,IP Address,150.195.97.203,100,687,True,2021-08-31 13:37:19,R_YYxGCG5x33yhtXX,,,,,44.9387969970703125,-93.65560150146484375,anonymous,EN,612b5d0166ad5cb45b65572d,Yes,"
2","
1","
1","
2","
1",Madras Paneer,it was but listening,The loudness of the background noise,30,Male,Caucasian/White,100,,AttentionCheck|ExperimentalSession-GH|ExperimentalSession-EF|ExperimentalSession-CD|ExperimentalSession-IJ|ExperimentalSession-AB,Attention Check 1
2021-08-31 13:30:35,2021-08-31 13:37:54,IP Address,47.78.187.57,100,438,True,2021-08-31 13:37:54,R_1EYHReYUNtahzJ5,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,611d736e6513aa63648cf1e7,Yes,,"
2","
1","
2","
1",Fried Chicken,,,,,,,,ExperimentalSession-CD|ExperimentalSession-GH|ExperimentalSession-EF|ExperimentalSession-AB|AttentionCheck|ExperimentalSession-IJ,Attention Check 1
2021-08-31 13:28:42,2021-08-31 13:38:41,IP Address,198.72.171.158,100,599,True,2021-08-31 13:38:42,R_3IRdOziCeQQuH9l,,,,,33.945098876953125,-118.081695556640625,anonymous,EN,61086469e5457fed4f164b8e,Yes,"
2","
2","
1","
2","
1",Madras Paneer,The alphabet,The loudness of the background noise,30,Female,Hispanic/Latinx,90%,,ExperimentalSession-IJ|ExperimentalSession-GH|ExperimentalSession-EF|ExperimentalSession-CD|AttentionCheck|ExperimentalSession-AB,Attention Check 1
2021-08-31 13:30:07,2021-08-31 13:39:17,IP Address,97.112.102.167,100,549,True,2021-08-31 13:39:17,R_21sxOsXKJO9H4d3,,,,,38.764495849609375,-94.81980133056640625,anonymous,EN,60fcead68694bfaeb33764ae,Yes,"
2","
2","
1","
2","
2",Madras Paneer,"Possibly the distractablitiy of young children with the background noise. ",The loudness of the background noise,28,Female,Caucasian/White,100,,ExperimentalSession-IJ|ExperimentalSession-AB|ExperimentalSession-CD|ExperimentalSession-EF|ExperimentalSession-GH|AttentionCheck,Attention Check 1
2021-08-31 13:28:59,2021-08-31 13:40:03,IP Address,99.120.102.181,100,664,True,2021-08-31 13:40:04,R_3MKHrudq7LOpCBL,,,,,32.67730712890625,-117.047698974609375,anonymous,EN,610749ebadaf4e2c885c5836,Yes,"
2","
2","
2","
1","
1",Madras Paneer,Whether your focus was on the volume of the teacher speaking or the volume of the students speaking in the background.,The loudness of the background noise,25,Female,Asian American/Pacific Islander,85%,,ExperimentalSession-EF|ExperimentalSession-IJ|ExperimentalSession-GH|ExperimentalSession-AB|ExperimentalSession-CD|AttentionCheck,Attention Check 1
2021-08-31 13:31:44,2021-08-31 13:42:31,IP Address,174.62.17.55,100,646,True,2021-08-31 13:42:32,R_qOxbIg0unh6UXWV,,,,,35.6219024658203125,-105.86879730224609375,anonymous,EN,60fda06a17dd0919ed3ae7f7,Yes,"
2","
2","
1","
2","
1",Madras Paneer,How the noise level of a room affects learning and memory,The loudness of the background noise,19,Female,Caucasian/White,100%,,ExperimentalSession-IJ|ExperimentalSession-CD|ExperimentalSession-GH|AttentionCheck|ExperimentalSession-AB|ExperimentalSession-EF,Attention Check 1
2021-08-31 13:32:50,2021-08-31 13:42:32,IP Address,173.185.182.82,100,581,True,2021-08-31 13:42:33,R_1CC8zWCWvaWuLpk,,,,,32.424102783203125,-97.77429962158203125,anonymous,EN,612d68e3c29fe8ce86a5d841,Yes,"
2","
2","
1","
2","
1",Madras Paneer,"I think this study was about attention span and how colors can affect your perception.  ",The loudness of the background noise,25,Female,Caucasian/White,95%,,ExperimentalSession-IJ|ExperimentalSession-CD|ExperimentalSession-EF|ExperimentalSession-AB|AttentionCheck|ExperimentalSession-GH,Attention Check 1
2021-08-31 13:37:06,2021-08-31 13:43:15,IP Address,172.58.228.231,100,369,True,2021-08-31 13:43:16,R_9S929nWkTROPkel,,,,,40.854705810546875,-73.9217987060546875,anonymous,EN,612c088b95b602e34b3c7d41,Yes,"
1","
2",,,"
1",Fried Chicken,,,,,,,,ExperimentalSession-AB|ExperimentalSession-IJ|ExperimentalSession-GH|AttentionCheck|ExperimentalSession-CD|ExperimentalSession-EF,Attention Check 1
2021-08-31 13:28:16,2021-08-31 13:44:15,IP Address,47.198.66.102,100,959,True,2021-08-31 13:44:16,R_rlQB0G7uaKUDDEt,,,,,28.24749755859375,-82.49430084228515625,anonymous,EN,611137fbc2ddd7e9020a3051,Yes,"
2","
2","
2","
2","
1",Madras Paneer,How loud and distracting one video can be compared to another,The loudness of the background noise,20,Female,"Caucasian/White,Hispanic/Latinx",50,,ExperimentalSession-AB|ExperimentalSession-CD|ExperimentalSession-IJ|ExperimentalSession-GH|ExperimentalSession-EF|AttentionCheck,Attention Check 1
2021-08-31 13:35:31,2021-08-31 13:44:53,IP Address,107.77.236.228,100,562,True,2021-08-31 13:44:54,R_3Mh4uYpvNu1B8Yi,,,,,33.9402008056640625,-84.53949737548828125,anonymous,EN,6127b19b0d1f356501d4eb0c,Yes,"
2","
2","
1","
2","
2",Madras Paneer,"Based on the voice and who is talking, do people find a difference in volumes ",The loudness of the background noise,19,Female,Caucasian/White,100,,AttentionCheck|ExperimentalSession-IJ|ExperimentalSession-CD|ExperimentalSession-EF|ExperimentalSession-GH|ExperimentalSession-AB,Attention Check 1
2021-08-31 13:34:56,2021-08-31 13:45:07,IP Address,73.37.0.218,100,610,True,2021-08-31 13:45:07,R_2ZUdXa5J405ELPK,,,,,45.46099853515625,-122.7052001953125,anonymous,EN,611f9bb3dcada21890ed9af0,Yes,"
2","
2","
1","
2","
1",Madras Paneer,I thought it might be about how people perceive background noises?,The loudness of the background noise,21,Female,Asian American/Pacific Islander,98,,ExperimentalSession-IJ|ExperimentalSession-AB|ExperimentalSession-GH|AttentionCheck|ExperimentalSession-EF|ExperimentalSession-CD,Attention Check 1
2021-08-31 13:37:24,2021-08-31 13:49:05,IP Address,73.47.137.176,100,700,True,2021-08-31 13:49:05,R_1Q3l15eYwuDZ9uw,,,,,44.4828948974609375,-73.22530364990234375,anonymous,EN,605770450751207a2cb288a9,Yes,"
2","
2","
1","
2","
1",Madras Paneer,noise levels?,The loudness of the background noise,20,Female,"African American/Black,Caucasian/White",100%,,AttentionCheck|ExperimentalSession-GH|ExperimentalSession-EF|ExperimentalSession-IJ|ExperimentalSession-AB|ExperimentalSession-CD,Attention Check 1
2021-08-31 13:22:43,2021-08-31 13:55:25,IP Address,75.128.64.109,100,1962,True,2021-08-31 13:55:26,R_1pXQFOjvgsCy49J,,,,,37.1356964111328125,-121.65019989013671875,anonymous,EN,612775a97f71342bec68c481,Yes,"
2","
2","
2","
2","
2",Madras Paneer,it's very good,The loudness of the speaker,50,Male,Caucasian/White,English,,ExperimentalSession-IJ|AttentionCheck|ExperimentalSession-CD|ExperimentalSession-AB|ExperimentalSession-EF|ExperimentalSession-GH,Attention Check 1
2021-08-31 13:45:53,2021-08-31 14:08:36,IP Address,70.125.214.138,100,1362,True,2021-08-31 14:08:36,R_3q7NrAttVVUx4hH,,,,,30.003204345703125,-97.83969879150390625,anonymous,EN,6128ccd149bb3daa8e7116aa,Yes,"
2","
2","
2","
1","
1",Madras Paneer,it's very good,The loudness of the speaker,51,Male,Caucasian/White,all time,,ExperimentalSession-GH|ExperimentalSession-AB|ExperimentalSession-EF|ExperimentalSession-CD|AttentionCheck|ExperimentalSession-IJ,Attention Check 1
2021-08-31 13:57:56,2021-08-31 14:09:43,IP Address,174.126.191.248,100,707,True,2021-08-31 14:09:44,R_1NwYh6TsIhd04qH,,,,,34.7729034423828125,-112.473602294921875,anonymous,EN,6110bda6750bafc5c49220cd,Yes,"
2","
2","
1","
2","
2",Madras Paneer,"Focusing on multiple things at once ",The loudness of the background noise,22,Non-binary / third gender,Hispanic/Latinx,25,,ExperimentalSession-GH|ExperimentalSession-CD|AttentionCheck|ExperimentalSession-IJ|ExperimentalSession-EF|ExperimentalSession-AB,Attention Check 1
