StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q43,Q6,Attention Check 1,Attention Check 2,clop_instrumental,gobb_instrumental,fraw_instrumental,norl_instrumental,terb_instrumental,plip_instrumental,surk_instrumental,rast_instrumental,clop_mtb,gobb_mtb,fraw_mtb,norl_mtb,terb_mtb,plip_mtb,surk_mtb,rast_mtb,clop_silence,gobb_silence,fraw_silence,norl_silence,terb_silence,plip_silence,surk_silence,rast_silence,clop_white,gobb_white,fraw_white,norl_white,terb_white,plip_white,surk_white,rast_white,clop_binary,clop_sim,gobb_binary,gobb_sim,fraw_binary,fraw_sim,norl_binary,norl_sim,terb_binary,terb_sim,plip_binary,plip_sim,surk_binary,surk_sim,rast_binary,rast_sim,Reflection,Age,Gender,Race,Language_1,PROLIFIC_PID
2022-10-14 12:27:53,2022-10-14 12:34:05,0,73.227.62.127,100,371,1,2022-10-14 12:34:05,R_2OI4eCMiAPMwUB3,,,,,42.2463,-70.9972,anonymous,EN,5fd95f2691ac2024f8a883dd,1,1,1,7,2,1,2,4,3,3,3,7,1,1,1,3,3,2,1,1,1,7,2,1,3,3,3,1,2,1,1,1,4,3,3,2,,2,,2,,2,,2,,2,,2,,2,,I have no idea.,45,2,3,100,
2022-10-14 12:26:19,2022-10-14 12:34:08,0,50.90.66.93,100,468,1,2022-10-14 12:34:09,R_bJbYtGfseFJRa7v,,,,,39.7932,-86.2132,anonymous,EN,5efec7794ff2093d25ffa6d0,1,1,1,6,4,2,4,5,3,3,5,7,5,1,1,7,1,3,7,1,1,7,7,1,7,7,7,7,1,1,1,7,4,7,7,2,,2,,2,,2,,2,,2,,2,,2,,I have no idea,38,1,3,100,
2022-10-14 12:28:59,2022-10-14 12:36:05,0,71.232.24.46,100,426,1,2022-10-14 12:36:06,R_sbudn9xWZuKjSg1,,,,,42.3474,-71.1582,anonymous,EN,5f095db6fc8e5a1e2271dc47,1,1,1,3,3,5,4,4,2,3,4,3,3,4,4,5,3,4,4,5,5,4,3,3,3,2,4,2,2,3,2,3,3,3,3,2,,2,,2,,2,,2,,2,,2,,2,,Sound perception,56,2,2,82,
2022-10-14 12:27:21,2022-10-14 12:37:49,0,24.26.133.38,100,628,1,2022-10-14 12:37:50,R_3FLO7O7ZtCawiHn,,,,,40.0732,-82.4017,anonymous,EN,5c2e673889f0350001760e06,1,1,1,5,1,1,2,1,3,1,7,7,1,1,1,2,1,1,7,5,1,2,7,1,1,1,7,7,1,1,5,3,2,1,7,1,clapping,2,,2,,2,,2,,1,flipping,1,sliding,1,fasting,Determining the degree to which different sounds impacts someone's ability to perform a given activity.,50,2,3,100,
2022-10-14 12:31:48,2022-10-14 12:40:26,0,12.14.208.194,100,517,1,2022-10-14 12:40:26,R_31iP3xgbrTIqBAn,,,,,37.8282,-90.702,anonymous,EN,610819070f272e33ed379acd,1,1,1,4,4,4,6,6,7,5,6,7,2,2,2,7,2,2,4,1,2,7,6,1,5,5,7,7,2,2,3,7,4,5,4,2,,2,,2,,2,,2,,1,flipping,2,,1,resting,paying attention to noises and whether an activity would work in that environment,50,2,3,100,
2022-10-14 12:36:33,2022-10-14 12:43:54,0,71.228.187.87,100,440,1,2022-10-14 12:43:54,R_VKENc6SNT4kkP9D,,,,,37.0634,-88.6632,anonymous,EN,5d506e6d4040a40016bb186a,1,1,1,4,5,2,2,2,5,4,4,4,2,1,1,1,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,no idea,76,1,3,98,
2022-10-14 12:32:53,2022-10-14 12:44:17,0,174.206.174.93,100,684,1,2022-10-14 12:44:17,R_2OU81Bi1pG6mnWz,,,,,40.7667,-74.0311,anonymous,EN,62e86c71987bb487b1ea2a4f,1,1,1,6,5,4,5,6,6,5,5,6,6,2,5,6,6,5,6,2,6,5,5,1,5,5,5,5,5,3,5,5,5,5,6,2,,2,,2,,2,,1,Gossip,2,,2,,2,,Paying attention and if we know about unfamiliar words,38,1,4,80,
2022-10-14 12:39:30,2022-10-14 12:44:35,0,65.34.252.230,100,304,1,2022-10-14 12:44:35,R_D7bFM1UxEC8jZN7,,,,,26.3441,-80.084,anonymous,EN,61533dc335621b99c5f36115,1,1,1,4,7,2,2,5,5,4,2,5,3,1,1,7,3,3,2,2,6,6,6,2,6,6,6,2,5,2,5,3,3,4,4,2,,2,,2,,2,,2,,2,,2,,2,,How people determine sounds and visualize things,19,2,3,100,
2022-10-14 12:39:27,2022-10-14 12:46:34,0,104.183.61.118,100,426,1,2022-10-14 12:46:34,R_2BkA9JoBvhnOzIk,,,,,41.5344,-81.5319,anonymous,EN,5e71163b993a030254465888,1,1,1,5,5,2,3,3,6,3,2,5,5,3,2,3,2,3,3,5,3,5,6,5,5,5,5,6,4,4,5,5,4,2,3,2,,2,,2,,2,,2,,2,,2,,1,scratching,seeing how people evaluate sounds in a room,28,1,3,100,
2022-10-14 12:39:49,2022-10-14 12:47:21,0,98.46.255.119,100,451,1,2022-10-14 12:47:21,R_06go2V6r7gqpskx,,,,,41.6837,-88.3499,anonymous,EN,6151cc823995d7eeb9be6183,1,0,1,2,6,5,2,2,2,3,1,3,4,1,2,5,2,2,3,3,5,3,3,2,1,5,3,6,2,3,2,7,1,3,5,1,riding a horse,2,,2,,2,,2,,2,,1,sulking,2,,i have no idea,50,1,3,100,
2022-10-14 12:38:47,2022-10-14 12:47:36,0,99.23.90.175,100,528,1,2022-10-14 12:47:36,R_xx3LQdYaKU9A8XD,,,,,35.2025,-97.4835,anonymous,EN,5ee0554d395f86389a14cc39,1,1,1,7,5,2,3,6,7,6,7,7,6,1,2,7,6,6,7,1,6,7,7,1,6,6,6,5,6,3,6,4,7,7,7,1,clapping,2,,1,drawing,1,snoring,2,,1,plopping,1,sulking,1,resting,How audio can effect what we think is going on in a situation or how we interprete words even when they are nonsense,45,2,3,100,
2022-10-14 12:38:19,2022-10-14 12:49:29,0,174.199.238.116,100,669,1,2022-10-14 12:49:29,R_2Ufma7kdWJ1zwNu,,,,,33.4355,-86.1131,anonymous,EN,5d68c88914867f000139f627,1,1,1,5,5,3,3,5,4,4,5,6,4,2,3,5,3,3,4,1,4,5,7,2,5,4,4,1,6,6,6,6,6,3,6,2,,1,pilfering,2,,1,concentrating,2,,2,,2,,2,,i have no idea,46,2,3,100,
2022-10-14 12:40:13,2022-10-14 12:49:49,0,74.71.112.214,100,576,1,2022-10-14 12:49:50,R_O7rvsg6UTsA4705,,,,,40.7809,-73.9502,anonymous,EN,5c5c8a688089970001788f30,1,1,1,7,4,1,2,4,4,4,7,7,1,1,1,6,1,1,7,1,4,7,7,1,4,4,7,1,5,6,7,1,4,4,7,2,,1,"eating fast ",2,,1,"thinking really hard ",2,,1,"plopping down (after spinning or other rapid activity) ",2,,2,,"perceptions of sound and its impact on activities ",72,2,3,100,
2022-10-14 12:46:11,2022-10-14 12:52:22,0,99.65.44.75,100,371,1,2022-10-14 12:52:23,R_28BNz6pIBXFdyAg,,,,,34.674,-92.357,anonymous,EN,633495fb68803f52dede35a0,1,1,1,7,2,2,2,5,7,7,7,7,7,1,2,7,7,7,7,7,1,2,7,2,7,5,7,7,1,1,2,2,7,7,7,2,,2,,2,,2,,2,,2,,2,,2,,Word Association,19,1,4,100,
2022-10-14 12:46:53,2022-10-14 12:52:42,0,73.228.114.89,100,348,1,2022-10-14 12:52:42,R_V1J2gDtvRXsc2YN,,,,,40.576,-111.8788,anonymous,EN,58a4b1b61521230001ebfd11,1,1,1,2,4,5,3,2,5,5,6,6,5,2,2,6,3,3,2,2,3,3,6,1,6,5,5,2,5,5,3,1,2,5,3,2,,1,Searching,2,,2,,2,,2,,2,,2,,i dont know,37,2,3,100,
2022-10-14 12:46:29,2022-10-14 12:53:46,0,72.201.193.141,100,436,1,2022-10-14 12:53:46,R_2xzUIq5jhwkHfFr,,,,,32.2448,-111.0214,anonymous,EN,5f60fa0a0543ce036fa68ba0,1,1,1,6,5,4,5,6,6,4,6,6,4,2,3,2,4,3,6,4,6,6,4,5,6,4,4,6,6,6,5,5,5,4,5,2,,2,,2,,2,,2,,2,,2,,2,,I have no idea,63,2,3,100,
2022-10-14 12:48:41,2022-10-14 12:55:35,0,75.191.152.158,100,414,1,2022-10-14 12:55:35,R_325PdAWEeDt0xe0,,,,,36.002,-80.0004,anonymous,EN,5e8a76b3939b3072dc76fb5c,1,1,1,6,1,4,1,4,1,5,4,7,4,1,1,6,2,1,2,5,3,5,3,4,5,5,2,1,1,1,1,5,1,2,1,2,,1,Entertaining yourself,2,,1,Remembering,2,,2,,2,,2,,People's answers to a weird activity name,25,1,4,94,
2022-10-14 12:45:44,2022-10-14 12:55:56,0,71.204.101.188,100,611,1,2022-10-14 12:55:57,R_3mmElEd5g7s2cH3,,,,,33.933,-84.604,anonymous,EN,60a0f0a3304a7c10be7332d2,1,1,1,3,6,1,6,4,7,2,7,7,6,1,1,7,3,1,7,1,7,7,7,2,7,7,7,7,7,1,3,7,7,1,7,1,"Walking intentionally loudly with your feet ",1,"Eating large amounts aggressively ",2,,2,,2,,2,,2,,1,to make fun of,No idea,32,1,1,100,
2022-10-14 12:45:36,2022-10-14 12:57:00,0,98.53.213.66,100,683,1,2022-10-14 12:57:00,R_8iRK9Dwjpsh6fxD,,,,,39.5437,-105.0136,anonymous,EN,5f1230c4f57b2f06e2465477,1,1,1,7,1,1,2,6,7,5,7,7,2,1,3,5,6,2,7,1,5,6,7,2,7,6,3,6,5,4,3,5,7,7,5,1,horseback riging,1,making noises like a turkey,1,Frowning,1,Snoring,1,tubing,1,flipping,1,sulking,1,resting,Sorry - no idea.,80,1,3,90,
2022-10-14 12:48:23,2022-10-14 12:57:32,0,199.168.73.24,100,548,1,2022-10-14 12:57:32,R_2R7K25z4dkcF2K5,,,,,37.9855,-84.5804,anonymous,EN,610c311ade8782b3183b53be,1,1,1,4,2,2,3,3,5,2,6,6,5,1,2,4,4,4,5,1,1,7,6,1,6,6,7,3,2,4,3,4,5,4,5,2,,2,,2,,2,,2,,2,,1,sliding,2,,Associating activities you can or cannot do while in a room with a few other people,22,2,"3,4",100,
2022-10-14 12:51:44,2022-10-14 12:57:40,0,68.174.9.190,100,356,1,2022-10-14 12:57:41,R_2dH0RUmGUkZqhva,,,,,40.839,-73.946,anonymous,EN,5fb5dfa5df577200090d9dc4,1,1,1,3,7,2,2,1,6,6,6,6,5,2,2,2,2,1,1,1,2,7,5,3,4,1,2,6,1,1,1,6,2,1,2,2,,2,,2,,1,retracing your steps,1,whispering,2,,2,,2,,How sounds/music and phonemes influence the way we think about activities?,21,1,3,95,
2022-10-14 12:49:59,2022-10-14 12:57:43,0,71.89.81.0,100,464,1,2022-10-14 12:57:44,R_3hrMgKlwoPZrSUm,,,,,44.833,-91.5125,anonymous,EN,5ba937237c0ebe000127583e,1,1,1,5,5,2,5,5,6,4,6,6,5,2,3,6,5,3,5,2,4,6,6,2,5,4,4,6,5,3,6,5,5,3,4,1,running,2,,1,bonding,1,thinking,1,gossiping,1,twirling,1,floor sliding,1,drumming,unsure,29,2,3,100,
2022-10-14 12:53:14,2022-10-14 12:59:59,0,47.40.255.111,100,404,1,2022-10-14 12:59:59,R_YXr2JL0WWg5e9kB,,,,,36.3125,-82.377,anonymous,EN,5f16195dc1ac14769930915c,1,1,1,5,3,1,2,2,5,5,5,6,6,1,3,6,2,2,2,1,6,7,7,1,2,2,1,6,5,1,4,4,2,2,5,2,,2,,2,,2,,2,,2,,2,,2,,Seeing what we think of those action words,23,2,3,100,
2022-10-14 12:53:12,2022-10-14 12:59:59,0,24.6.46.45,100,406,1,2022-10-14 13:00:00,R_3QXemvFl31xHxRT,,,,,37.5172,-121.9191,anonymous,EN,6019a7211839d5112bf03628,1,1,1,2,4,4,2,1,4,5,3,2,2,1,1,1,5,4,2,2,4,4,2,3,5,1,5,1,5,4,1,3,5,3,6,2,,2,,2,,1,recall,1,confiding,1,twirling,2,,2,,How new vocabulary is understood.,25,1,2,85,
2022-10-14 12:53:52,2022-10-14 13:00:16,0,135.134.213.125,100,384,1,2022-10-14 13:00:17,R_21zCE13sp9w7zcd,,,,,44.9656,-89.7066,anonymous,EN,6111b04382b7b8effc8b2b27,1,1,1,4,3,1,2,4,3,3,2,6,3,1,3,5,1,2,2,1,4,2,4,1,4,4,2,2,3,1,2,2,3,3,3,2,,2,,2,,2,,2,,2,,2,,2,,idk,21,2,3,100,
2022-10-14 12:53:22,2022-10-14 13:02:13,0,71.227.201.18,100,531,1,2022-10-14 13:02:13,R_3COt3ODr3yEPMpe,,,,,47.8302,-122.3331,anonymous,EN,59c0a297c458e800017b5499,1,1,1,7,5,2,4,6,6,5,6,6,3,2,3,6,4,4,4,2,3,5,6,1,4,4,3,6,5,3,4,5,5,5,5,2,,1,contemplating,2,,1,Tracing steps and activity,1,whispering,1,spinning,1,sliding,2,,Associating sounds with appropriate activities,52,1,3,99,
2022-10-14 12:52:48,2022-10-14 13:02:21,0,12.229.13.226,100,572,1,2022-10-14 13:02:21,R_277iOgaIhqGIU7z,,,,,41.0996,-80.7523,anonymous,EN,5c8ef4072a1b22000198f6bf,1,1,1,7,4,4,7,7,7,4,7,5,5,1,3,7,3,4,6,3,4,7,4,3,5,4,7,4,1,1,4,7,4,1,4,1,stomp,2,,2,,2,,2,,2,,2,,2,,no idea,50,2,3,100,
2022-10-14 12:48:02,2022-10-14 13:04:40,0,107.145.170.63,100,998,1,2022-10-14 13:04:41,R_1jcvZgvY2rmzIiu,,,,,29.2866,-81.0869,anonymous,EN,6348846ae221cb4a0efbf3f9,1,1,1,7,1,6,1,2,7,3,6,4,1,2,2,2,2,4,4,1,2,1,1,4,3,4,1,4,2,1,1,2,1,1,1,2,,1,Gobbing,1,forgot,1,norling,2,,2,,2,,2,,memory... and mine is retarded!,79,2,3,100,
2022-10-14 12:50:14,2022-10-14 13:05:37,0,128.239.137.248,100,923,1,2022-10-14 13:05:37,R_31nQVQzsRJavqH4,,,,,37.2731,-76.7279,anonymous,EN,592f1db78ad1ae0001937983,1,1,1,6,6,1,2,5,4,4,6,6,6,1,3,7,2,2,5,1,1,7,5,1,3,3,2,5,2,2,6,3,4,2,4,2,,2,,1,Yawning,1,Snoring,2,,2,,1,surfing,1,Rapping,No clue,44,1,3,100,
2022-10-14 12:57:14,2022-10-14 13:05:45,0,98.14.53.235,100,510,1,2022-10-14 13:05:45,R_VQkfHcnnux5x4WZ,,,,,40.7513,-73.883,anonymous,EN,5abc079a68b65b00018cfd7f,1,1,1,4,6,4,5,2,4,5,3,6,5,1,3,7,1,2,4,3,6,5,6,1,4,4,5,5,3,2,4,4,2,3,4,1,clapping,2,,1,yawning,2,,2,,1,flipping,1,slurping,1,rasping,activities we feel comfortable doing based on background sound,41,2,2,89,
2022-10-14 12:49:41,2022-10-14 13:10:41,0,97.113.207.233,100,1259,1,2022-10-14 13:10:42,R_2y8CVT7YQlGLv2X,,,,,47.54,-122.3032,anonymous,EN,6060bdd2935a3eb3bdcdb835,1,1,1,2,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,1,1,3,1,1,1,2,1,1,2,,2,,2,,2,,2,,2,,2,,2,,"No idea, seriously",57,2,2,100,
